"experiment","senID","item","type","sentence","selection","ID","w1","w2","w3"
"prior","23","PR-23","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的孩子搂在了怀里。”","Others","ee5d-f7f8-9b32-0d8b","wanggang.png","zhangwei.png","other.png"
"prior","16","PR-16","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的照片发到了朋友圈。”","Clause Subject","ee5d-f7f8-9b32-0d8b","xiaoming.png","wanggang.png","other.png"
"prior","10","PR-10","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>逼得太紧了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","wanggang.png","xiaoming.png","other.png"
"prior","12","PR-12","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>气哭了。”","Speaker","ee5d-f7f8-9b32-0d8b","wanggang.png","zhangwei.png","other.png"
"prior","8","PR-8","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>绊倒了。”","Speaker","ee5d-f7f8-9b32-0d8b","xiaoming.png","lihua.png","other.png"
"prior","28","PR-28","possessor","张伟：“小明把<font color=red> &nbsp?&nbsp</font>的秘密告诉了别人。”","Others","ee5d-f7f8-9b32-0d8b","zhangwei.png","xiaoming.png","other.png"
"prior","4","PR-4","co-argument","李华：“张伟把<font color=red> &nbsp?&nbsp</font>当成小孩子了。”","Speaker","ee5d-f7f8-9b32-0d8b","lihua.png","zhangwei.png","other.png"
"prior","13","PR-13","co-argument","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>吓坏了。”","Speaker","ee5d-f7f8-9b32-0d8b","zhangwei.png","wanggang.png","other.png"
"prior","3","PR-3","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>照顾得很好。”","Clause Subject","ee5d-f7f8-9b32-0d8b","lihua.png","wanggang.png","other.png"
"prior","20","PR-20","possessor","王刚：“李华把<font color=red> &nbsp?&nbsp</font>的遭遇讲给了别人听。”","Clause Subject","ee5d-f7f8-9b32-0d8b","wanggang.png","lihua.png","other.png"
"prior","2","PR-2","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>出卖了。”","Others","ee5d-f7f8-9b32-0d8b","lihua.png","wanggang.png","other.png"
"prior","22","PR-22","possessor","王刚：“小明把<font color=red> &nbsp?&nbsp</font>的想法表达出来了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","wanggang.png","xiaoming.png","other.png"
"prior","21","PR-21","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的工作做完了。”","Clause Subject","4488-63e9-35a5-4726","wanggang.png","zhangwei.png","other.png"
"prior","20","PR-20","possessor","王刚：“李华把<font color=red> &nbsp?&nbsp</font>的遭遇讲给了别人听。”","Speaker","4488-63e9-35a5-4726","wanggang.png","lihua.png","other.png"
"prior","19","PR-19","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的作业遗漏了。”","Clause Subject","4488-63e9-35a5-4726","xiaoming.png","wanggang.png","other.png"
"prior","26","PR-26","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的玩具模型弄坏了。”","Others","4488-63e9-35a5-4726","lihua.png","xiaoming.png","other.png"
"prior","28","PR-28","possessor","张伟：“小明把<font color=red> &nbsp?&nbsp</font>的秘密告诉了别人。”","Others","4488-63e9-35a5-4726","zhangwei.png","xiaoming.png","other.png"
"prior","15","PR-15","co-argument","张伟：“小明把<font color=red> &nbsp?&nbsp</font>逗笑了。”","Speaker","4488-63e9-35a5-4726","zhangwei.png","xiaoming.png","other.png"
"prior","2","PR-2","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>出卖了。”","Others","4488-63e9-35a5-4726","lihua.png","wanggang.png","other.png"
"prior","14","PR-14","co-argument","张伟：“李华把<font color=red> &nbsp?&nbsp</font>弄骨折了。”","Others","4488-63e9-35a5-4726","zhangwei.png","lihua.png","other.png"
"prior","7","PR-7","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>灌醉了。”","Speaker","4488-63e9-35a5-4726","xiaoming.png","lihua.png","other.png"
"prior","6","PR-6","co-argument","小明：“张伟把   <font color=red> &nbsp?&nbsp</font>   想象成侦探了。”","Speaker","4488-63e9-35a5-4726","xiaoming.png","zhangwei.png","other.png"
"prior","24","PR-24","possessor","李华：“王刚把<font color=red> &nbsp?&nbsp</font>的证件弄丢了。”","Speaker","4488-63e9-35a5-4726","lihua.png","wanggang.png","other.png"
"prior","5","PR-5","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>弄伤了。”","Others","4488-63e9-35a5-4726","xiaoming.png","lihua.png","other.png"
"prior","16","PR-16","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的照片发到了朋友圈。”","Others","4488-63e9-35a5-4726","xiaoming.png","wanggang.png","other.png"
"prior","29","PR-29","possessor","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>的衣服捐掉了。”","Clause Subject","4488-63e9-35a5-4726","zhangwei.png","wanggang.png","other.png"
"prior","17","PR-17","possessor","小明：“李华把<font color=red> &nbsp?&nbsp</font>的演讲稿修改好了。”","Speaker","4488-63e9-35a5-4726","xiaoming.png","lihua.png","other.png"
"prior","9","PR-9","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>锁在教室里了。”","Others","4488-63e9-35a5-4726","wanggang.png","xiaoming.png","other.png"
"prior","25","PR-25","possessor","李华：“张伟把<font color=red> &nbsp?&nbsp</font>的小狗找回来了。”","Speaker","4488-63e9-35a5-4726","lihua.png","zhangwei.png","other.png"
"prior","10","PR-10","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>逼得太紧了。”","Speaker","4488-63e9-35a5-4726","wanggang.png","xiaoming.png","other.png"
"prior","22","PR-22","possessor","王刚：“小明把<font color=red> &nbsp?&nbsp</font>的想法表达出来了。”","Others","4488-63e9-35a5-4726","wanggang.png","xiaoming.png","other.png"
"prior","12","PR-12","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>气哭了。”","Speaker","4488-63e9-35a5-4726","wanggang.png","zhangwei.png","other.png"
"prior","4","PR-4","co-argument","李华：“张伟把<font color=red> &nbsp?&nbsp</font>当成小孩子了。”","Others","4488-63e9-35a5-4726","lihua.png","zhangwei.png","other.png"
"prior","27","PR-27","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的房间打扫干净了。”","Clause Subject","4488-63e9-35a5-4726","lihua.png","xiaoming.png","other.png"
"prior","18","PR-18","possessor","小明：“张伟把<font color=red> &nbsp?&nbsp</font>的想法忘记了。”","Clause Subject","4488-63e9-35a5-4726","xiaoming.png","zhangwei.png","other.png"
"prior","13","PR-13","co-argument","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>吓坏了。”","Others","4488-63e9-35a5-4726","zhangwei.png","wanggang.png","other.png"
"prior","3","PR-3","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>照顾得很好。”","Others","4488-63e9-35a5-4726","lihua.png","wanggang.png","other.png"
"prior","8","PR-8","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>绊倒了。”","Clause Subject","4488-63e9-35a5-4726","xiaoming.png","lihua.png","other.png"
"prior","11","PR-11","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>置于危险中了。”","Speaker","4488-63e9-35a5-4726","wanggang.png","zhangwei.png","other.png"
"prior","23","PR-23","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的孩子搂在了怀里。”","Clause Subject","4488-63e9-35a5-4726","wanggang.png","zhangwei.png","other.png"
"prior","1","PR-1","co-argument","李华：“小明把<font color=red> &nbsp?&nbsp</font>弄糊涂了。”","Speaker","4488-63e9-35a5-4726","lihua.png","xiaoming.png","other.png"
"prior","30","PR-30","possessor","张伟：“李华把<font color=red> &nbsp?&nbsp</font>的文件删除了。”","Others","4488-63e9-35a5-4726","zhangwei.png","lihua.png","other.png"
"prior","22","PR-22","possessor","王刚：“小明把<font color=red> &nbsp?&nbsp</font>的想法表达出来了。”","Speaker","546b-4bbf-2b40-6891","wanggang.png","xiaoming.png","other.png"
"prior","15","PR-15","co-argument","张伟：“小明把<font color=red> &nbsp?&nbsp</font>逗笑了。”","Speaker","546b-4bbf-2b40-6891","zhangwei.png","xiaoming.png","other.png"
"prior","5","PR-5","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>弄伤了。”","Others","546b-4bbf-2b40-6891","xiaoming.png","lihua.png","other.png"
"prior","21","PR-21","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的工作做完了。”","Clause Subject","546b-4bbf-2b40-6891","wanggang.png","zhangwei.png","other.png"
"prior","26","PR-26","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的玩具模型弄坏了。”","Speaker","546b-4bbf-2b40-6891","lihua.png","xiaoming.png","other.png"
"prior","30","PR-30","possessor","张伟：“李华把<font color=red> &nbsp?&nbsp</font>的文件删除了。”","Speaker","546b-4bbf-2b40-6891","zhangwei.png","lihua.png","other.png"
"prior","12","PR-12","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>气哭了。”","Others","546b-4bbf-2b40-6891","wanggang.png","zhangwei.png","other.png"
"prior","20","PR-20","possessor","王刚：“李华把<font color=red> &nbsp?&nbsp</font>的遭遇讲给了别人听。”","Clause Subject","546b-4bbf-2b40-6891","wanggang.png","lihua.png","other.png"
"prior","29","PR-29","possessor","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>的衣服捐掉了。”","Speaker","546b-4bbf-2b40-6891","zhangwei.png","wanggang.png","other.png"
"prior","16","PR-16","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的照片发到了朋友圈。”","Clause Subject","546b-4bbf-2b40-6891","xiaoming.png","wanggang.png","other.png"
"prior","14","PR-14","co-argument","张伟：“李华把<font color=red> &nbsp?&nbsp</font>弄骨折了。”","Others","546b-4bbf-2b40-6891","zhangwei.png","lihua.png","other.png"
"prior","17","PR-17","possessor","小明：“李华把<font color=red> &nbsp?&nbsp</font>的演讲稿修改好了。”","Speaker","546b-4bbf-2b40-6891","xiaoming.png","lihua.png","other.png"
"prior","1","PR-1","co-argument","李华：“小明把<font color=red> &nbsp?&nbsp</font>弄糊涂了。”","Speaker","546b-4bbf-2b40-6891","lihua.png","xiaoming.png","other.png"
"prior","19","PR-19","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的作业遗漏了。”","Clause Subject","546b-4bbf-2b40-6891","xiaoming.png","wanggang.png","other.png"
"prior","8","PR-8","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>绊倒了。”","Others","546b-4bbf-2b40-6891","xiaoming.png","lihua.png","other.png"
"prior","25","PR-25","possessor","李华：“张伟把<font color=red> &nbsp?&nbsp</font>的小狗找回来了。”","Others","546b-4bbf-2b40-6891","lihua.png","zhangwei.png","other.png"
"prior","13","PR-13","co-argument","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>吓坏了。”","Speaker","546b-4bbf-2b40-6891","zhangwei.png","wanggang.png","other.png"
"prior","4","PR-4","co-argument","李华：“张伟把<font color=red> &nbsp?&nbsp</font>当成小孩子了。”","Speaker","546b-4bbf-2b40-6891","lihua.png","zhangwei.png","other.png"
"prior","23","PR-23","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的孩子搂在了怀里。”","Others","546b-4bbf-2b40-6891","wanggang.png","zhangwei.png","other.png"
"prior","6","PR-6","co-argument","小明：“张伟把   <font color=red> &nbsp?&nbsp</font>   想象成侦探了。”","Others","546b-4bbf-2b40-6891","xiaoming.png","zhangwei.png","other.png"
"prior","24","PR-24","possessor","李华：“王刚把<font color=red> &nbsp?&nbsp</font>的证件弄丢了。”","Clause Subject","546b-4bbf-2b40-6891","lihua.png","wanggang.png","other.png"
"prior","3","PR-3","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>照顾得很好。”","Others","546b-4bbf-2b40-6891","lihua.png","wanggang.png","other.png"
"prior","2","PR-2","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>出卖了。”","Others","546b-4bbf-2b40-6891","lihua.png","wanggang.png","other.png"
"prior","11","PR-11","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>置于危险中了。”","Clause Subject","546b-4bbf-2b40-6891","wanggang.png","zhangwei.png","other.png"
"prior","7","PR-7","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>灌醉了。”","Others","546b-4bbf-2b40-6891","xiaoming.png","lihua.png","other.png"
"prior","9","PR-9","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>锁在教室里了。”","Others","546b-4bbf-2b40-6891","wanggang.png","xiaoming.png","other.png"
"prior","18","PR-18","possessor","小明：“张伟把<font color=red> &nbsp?&nbsp</font>的想法忘记了。”","Clause Subject","546b-4bbf-2b40-6891","xiaoming.png","zhangwei.png","other.png"
"prior","27","PR-27","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的房间打扫干净了。”","Clause Subject","546b-4bbf-2b40-6891","lihua.png","xiaoming.png","other.png"
"prior","10","PR-10","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>逼得太紧了。”","Clause Subject","546b-4bbf-2b40-6891","wanggang.png","xiaoming.png","other.png"
"prior","28","PR-28","possessor","张伟：“小明把<font color=red> &nbsp?&nbsp</font>的秘密告诉了别人。”","Others","546b-4bbf-2b40-6891","zhangwei.png","xiaoming.png","other.png"
"prior","29","PR-29","possessor","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>的衣服捐掉了。”","Others","0a9a-42f2-33ac-346d","zhangwei.png","wanggang.png","other.png"
"prior","8","PR-8","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>绊倒了。”","Others","0a9a-42f2-33ac-346d","xiaoming.png","lihua.png","other.png"
"prior","1","PR-1","co-argument","李华：“小明把<font color=red> &nbsp?&nbsp</font>弄糊涂了。”","Speaker","0a9a-42f2-33ac-346d","lihua.png","xiaoming.png","other.png"
"prior","21","PR-21","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的工作做完了。”","Clause Subject","0a9a-42f2-33ac-346d","wanggang.png","zhangwei.png","other.png"
"prior","19","PR-19","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的作业遗漏了。”","Clause Subject","0a9a-42f2-33ac-346d","xiaoming.png","wanggang.png","other.png"
"prior","16","PR-16","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的照片发到了朋友圈。”","Clause Subject","0a9a-42f2-33ac-346d","xiaoming.png","wanggang.png","other.png"
"prior","12","PR-12","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>气哭了。”","Others","0a9a-42f2-33ac-346d","wanggang.png","zhangwei.png","other.png"
"prior","7","PR-7","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>灌醉了。”","Others","0a9a-42f2-33ac-346d","xiaoming.png","lihua.png","other.png"
"prior","30","PR-30","possessor","张伟：“李华把<font color=red> &nbsp?&nbsp</font>的文件删除了。”","Clause Subject","0a9a-42f2-33ac-346d","zhangwei.png","lihua.png","other.png"
"prior","17","PR-17","possessor","小明：“李华把<font color=red> &nbsp?&nbsp</font>的演讲稿修改好了。”","Others","0a9a-42f2-33ac-346d","xiaoming.png","lihua.png","other.png"
"prior","27","PR-27","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的房间打扫干净了。”","Clause Subject","0a9a-42f2-33ac-346d","lihua.png","xiaoming.png","other.png"
"prior","20","PR-20","possessor","王刚：“李华把<font color=red> &nbsp?&nbsp</font>的遭遇讲给了别人听。”","Others","0a9a-42f2-33ac-346d","wanggang.png","lihua.png","other.png"
"prior","10","PR-10","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>逼得太紧了。”","Clause Subject","0a9a-42f2-33ac-346d","wanggang.png","xiaoming.png","other.png"
"prior","24","PR-24","possessor","李华：“王刚把<font color=red> &nbsp?&nbsp</font>的证件弄丢了。”","Clause Subject","0a9a-42f2-33ac-346d","lihua.png","wanggang.png","other.png"
"prior","13","PR-13","co-argument","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>吓坏了。”","Others","0a9a-42f2-33ac-346d","zhangwei.png","wanggang.png","other.png"
"prior","9","PR-9","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>锁在教室里了。”","Others","0a9a-42f2-33ac-346d","wanggang.png","xiaoming.png","other.png"
"prior","3","PR-3","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>照顾得很好。”","Others","0a9a-42f2-33ac-346d","lihua.png","wanggang.png","other.png"
"prior","22","PR-22","possessor","王刚：“小明把<font color=red> &nbsp?&nbsp</font>的想法表达出来了。”","Others","0a9a-42f2-33ac-346d","wanggang.png","xiaoming.png","other.png"
"prior","11","PR-11","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>置于危险中了。”","Others","0a9a-42f2-33ac-346d","wanggang.png","zhangwei.png","other.png"
"prior","4","PR-4","co-argument","李华：“张伟把<font color=red> &nbsp?&nbsp</font>当成小孩子了。”","Speaker","0a9a-42f2-33ac-346d","lihua.png","zhangwei.png","other.png"
"prior","6","PR-6","co-argument","小明：“张伟把   <font color=red> &nbsp?&nbsp</font>   想象成侦探了。”","Clause Subject","0a9a-42f2-33ac-346d","xiaoming.png","zhangwei.png","other.png"
"prior","23","PR-23","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的孩子搂在了怀里。”","Clause Subject","0a9a-42f2-33ac-346d","wanggang.png","zhangwei.png","other.png"
"prior","18","PR-18","possessor","小明：“张伟把<font color=red> &nbsp?&nbsp</font>的想法忘记了。”","Clause Subject","0a9a-42f2-33ac-346d","xiaoming.png","zhangwei.png","other.png"
"prior","2","PR-2","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>出卖了。”","Others","0a9a-42f2-33ac-346d","lihua.png","wanggang.png","other.png"
"prior","15","PR-15","co-argument","张伟：“小明把<font color=red> &nbsp?&nbsp</font>逗笑了。”","Speaker","0a9a-42f2-33ac-346d","zhangwei.png","xiaoming.png","other.png"
"prior","5","PR-5","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>弄伤了。”","Others","0a9a-42f2-33ac-346d","xiaoming.png","lihua.png","other.png"
"prior","25","PR-25","possessor","李华：“张伟把<font color=red> &nbsp?&nbsp</font>的小狗找回来了。”","Speaker","0a9a-42f2-33ac-346d","lihua.png","zhangwei.png","other.png"
"prior","28","PR-28","possessor","张伟：“小明把<font color=red> &nbsp?&nbsp</font>的秘密告诉了别人。”","Speaker","0a9a-42f2-33ac-346d","zhangwei.png","xiaoming.png","other.png"
"prior","14","PR-14","co-argument","张伟：“李华把<font color=red> &nbsp?&nbsp</font>弄骨折了。”","Others","0a9a-42f2-33ac-346d","zhangwei.png","lihua.png","other.png"
"prior","26","PR-26","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的玩具模型弄坏了。”","Speaker","0a9a-42f2-33ac-346d","lihua.png","xiaoming.png","other.png"
"prior","25","PR-25","possessor","李华：“张伟把<font color=red> &nbsp?&nbsp</font>的小狗找回来了。”","Speaker","a527-fcab-ef96-1e26","lihua.png","zhangwei.png","other.png"
"prior","16","PR-16","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的照片发到了朋友圈。”","Speaker","a527-fcab-ef96-1e26","xiaoming.png","wanggang.png","other.png"
"prior","30","PR-30","possessor","张伟：“李华把<font color=red> &nbsp?&nbsp</font>的文件删除了。”","Others","a527-fcab-ef96-1e26","zhangwei.png","lihua.png","other.png"
"prior","13","PR-13","co-argument","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>吓坏了。”","Others","a527-fcab-ef96-1e26","zhangwei.png","wanggang.png","other.png"
"prior","26","PR-26","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的玩具模型弄坏了。”","Speaker","a527-fcab-ef96-1e26","lihua.png","xiaoming.png","other.png"
"prior","20","PR-20","possessor","王刚：“李华把<font color=red> &nbsp?&nbsp</font>的遭遇讲给了别人听。”","Others","a527-fcab-ef96-1e26","wanggang.png","lihua.png","other.png"
"prior","29","PR-29","possessor","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>的衣服捐掉了。”","Clause Subject","a527-fcab-ef96-1e26","zhangwei.png","wanggang.png","other.png"
"prior","7","PR-7","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>灌醉了。”","Others","a527-fcab-ef96-1e26","xiaoming.png","lihua.png","other.png"
"prior","27","PR-27","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的房间打扫干净了。”","Clause Subject","a527-fcab-ef96-1e26","lihua.png","xiaoming.png","other.png"
"prior","5","PR-5","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>弄伤了。”","Others","a527-fcab-ef96-1e26","xiaoming.png","lihua.png","other.png"
"prior","4","PR-4","co-argument","李华：“张伟把<font color=red> &nbsp?&nbsp</font>当成小孩子了。”","Speaker","a527-fcab-ef96-1e26","lihua.png","zhangwei.png","other.png"
"prior","11","PR-11","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>置于危险中了。”","Others","a527-fcab-ef96-1e26","wanggang.png","zhangwei.png","other.png"
"prior","12","PR-12","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>气哭了。”","Others","a527-fcab-ef96-1e26","wanggang.png","zhangwei.png","other.png"
"prior","8","PR-8","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>绊倒了。”","Others","a527-fcab-ef96-1e26","xiaoming.png","lihua.png","other.png"
"prior","28","PR-28","possessor","张伟：“小明把<font color=red> &nbsp?&nbsp</font>的秘密告诉了别人。”","Speaker","a527-fcab-ef96-1e26","zhangwei.png","xiaoming.png","other.png"
"prior","18","PR-18","possessor","小明：“张伟把<font color=red> &nbsp?&nbsp</font>的想法忘记了。”","Clause Subject","a527-fcab-ef96-1e26","xiaoming.png","zhangwei.png","other.png"
"prior","17","PR-17","possessor","小明：“李华把<font color=red> &nbsp?&nbsp</font>的演讲稿修改好了。”","Clause Subject","a527-fcab-ef96-1e26","xiaoming.png","lihua.png","other.png"
"prior","9","PR-9","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>锁在教室里了。”","Speaker","a527-fcab-ef96-1e26","wanggang.png","xiaoming.png","other.png"
"prior","3","PR-3","co-argument","李华：“王刚把<font color=red> &nbsp?&nbsp</font>照顾得很好。”","Others","a527-fcab-ef96-1e26","lihua.png","wanggang.png","other.png"
"prior","6","PR-6","co-argument","小明：“张伟把   <font color=red> &nbsp?&nbsp</font>   想象成侦探了。”","Speaker","a527-fcab-ef96-1e26","xiaoming.png","zhangwei.png","other.png"
"prior","21","PR-21","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的工作做完了。”","Others","a527-fcab-ef96-1e26","wanggang.png","zhangwei.png","other.png"
"prior","10","PR-10","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>逼得太紧了。”","Clause Subject","a527-fcab-ef96-1e26","wanggang.png","xiaoming.png","other.png"
"prior","14","PR-14","co-argument","张伟：“李华把<font color=red> &nbsp?&nbsp</font>弄骨折了。”","Clause Subject","a527-fcab-ef96-1e26","zhangwei.png","lihua.png","other.png"
"prior","23","PR-23","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的孩子搂在了怀里。”","Others","a527-fcab-ef96-1e26","wanggang.png","zhangwei.png","other.png"
"prior","22","PR-22","possessor","王刚：“小明把<font color=red> &nbsp?&nbsp</font>的想法表达出来了。”","Clause Subject","a527-fcab-ef96-1e26","wanggang.png","xiaoming.png","other.png"
"prior","24","PR-24","possessor","李华：“王刚把<font color=red> &nbsp?&nbsp</font>的证件弄丢了。”","Clause Subject","a527-fcab-ef96-1e26","lihua.png","wanggang.png","other.png"
"prior","1","PR-1","co-argument","李华：“小明把<font color=red> &nbsp?&nbsp</font>弄糊涂了。”","Speaker","a527-fcab-ef96-1e26","lihua.png","xiaoming.png","other.png"
"prior","15","PR-15","co-argument","张伟：“小明把<font color=red> &nbsp?&nbsp</font>逗笑了。”","Speaker","a527-fcab-ef96-1e26","zhangwei.png","xiaoming.png","other.png"
