experiment,senID,Group,item,type,condition,sentence,question,W1,W2,W3
posterior,17,C,PO-C-17,zijide,ta,小明说李华把他的演讲稿修改好了。,谁的演讲稿被修改好了？,xiaoming.png,lihua.png,other.png
posterior,18,C,PO-C-18,zijide,taziji,小明说张伟把他自己的想法忘记了。,谁的想法被忘记了？,xiaoming.png,zhangwei.png,other.png
posterior,19,C,PO-C-19,zijide,ziji,小明说王刚把自己的作业遗漏了。,谁的作业被遗漏了？,xiaoming.png,wanggang.png,other.png
posterior,20,C,PO-C-20,zijide,ta,王刚说李华把他的遭遇讲给了别人听。,谁的遭遇被讲给了别人听？,wanggang.png,lihua.png,other.png
posterior,21,C,PO-C-21,zijide,taziji,王刚说张伟把他自己的工作做完了。,谁的工作被做完了？,wanggang.png,zhangwei.png,other.png
posterior,22,C,PO-C-22,zijide,ziji,王刚说小明把自己的想法表达出来了。,谁的想法被表达出来了？,wanggang.png,xiaoming.png,other.png
posterior,23,C,PO-C-23,zijide,ta,王刚说张伟把他的孩子搂在了怀里。,谁的孩子被搂在了怀里？,wanggang.png,zhangwei.png,other.png
posterior,24,C,PO-C-24,zijide,taziji,李华说王刚把他自己的证件弄丢了。,谁的证件被弄丢了？,lihua.png,wanggang.png,other.png
posterior,25,C,PO-C-25,zijide,ziji,李华说张伟把自己的小狗找回来了。,谁的小狗被找回来了？,lihua.png,zhangwei.png,other.png
posterior,26,C,PO-C-26,zijide,ta,李华说小明把他的玩具模型弄坏了。,谁的玩具模型被弄坏了？,lihua.png,xiaoming.png,other.png
posterior,27,C,PO-C-27,zijide,taziji,李华说小明把他自己的房间打扫干净了。,谁的房间被打扫干净了？,lihua.png,xiaoming.png,other.png
posterior,28,C,PO-C-28,zijide,ziji,张伟说小明把自己的秘密告诉了别人。,谁的秘密被告诉了别人？,zhangwei.png,xiaoming.png,other.png
posterior,29,C,PO-C-29,zijide,ta,张伟说王刚把他的衣服捐掉了。,谁的衣服被捐掉了？,zhangwei.png,wanggang.png,other.png
posterior,30,C,PO-C-30,zijide,taziji,张伟说李华把他自己的文件删除了。,谁的文件被删除了？,zhangwei.png,lihua.png,other.png
posterior,31,A,PO-A-31,filler,ziji,小明说李华把自己的想法强加给了别人。,谁的想法被强加给了别人？,xiaoming.png,lihua.png,other.png
posterior,32,A,PO-A-32,filler,ziji,李华说张伟把自己的一生献给了艺术。,谁的一生献给了艺术？,lihua.png,zhangwei.png,other.png
posterior,33,A,PO-A-33,filler,ziji,张伟说王刚把自己代入小说角色里了。,谁被代入小说角色里了？,zhangwei.png,wanggang.png,other.png
posterior,34,A,PO-A-34,filler,ziji,王刚说小明把自己的生活过得井井有条。,谁的生活过得井井有条？,wanggang.png,xiaoming.png,other.png
posterior,31,B,PO-B-31,filler,ziji,小明说李华把自己的想法强加给了别人。,谁的想法被强加给了别人？,xiaoming.png,lihua.png,other.png
posterior,32,B,PO-B-32,filler,ziji,李华说张伟把自己的一生献给了艺术。,谁的一生献给了艺术？,lihua.png,zhangwei.png,other.png
posterior,33,B,PO-B-33,filler,ziji,张伟说王刚把自己代入小说角色里了。,谁被代入小说角色里了？,zhangwei.png,wanggang.png,other.png
posterior,34,B,PO-B-34,filler,ziji,王刚说小明把自己的生活过得井井有条。,谁的生活过得井井有条？,wanggang.png,xiaoming.png,other.png
posterior,31,C,PO-C-31,filler,ziji,小明说李华把自己的想法强加给了别人。,谁的想法被强加给了别人？,xiaoming.png,lihua.png,other.png
posterior,32,C,PO-C-32,filler,ziji,李华说张伟把自己的一生献给了艺术。,谁的一生献给了艺术？,lihua.png,zhangwei.png,other.png
posterior,33,C,PO-C-33,filler,ziji,张伟说王刚把自己代入小说角色里了。,谁被代入小说角色里了？,zhangwei.png,wanggang.png,other.png
posterior,34,C,PO-C-34,filler,ziji,王刚说小明把自己的生活过得井井有条。,谁的生活过得井井有条？,wanggang.png,xiaoming.png,other.png
